kappa_0.16,,kappa_0.23_main,,kappa_0.30_main,,kappa_0.37_main,,kappa_0.23_bullet,,kappa_0.30_bullet,,kappa_0.16_nw,,kappa_0.16_uc,,kappa_0.16_ur,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
-1.0347512020794751,-0.05969874810720115,-0.7903352106475265,-0.030942891707140617,-0.9999973653875298,-0.042857190299292885,-1.2305322856382992,-0.04270398996678887,-3.742617363015369,-0.051085388986303076,-4.241674272513461,-0.05275534397137932,-4.679121326542365,-0.03521115287579795,-1.9590512825245685,-0.06240024198225601,-3.257487908621812,-0.0670720596433598
-1.0032865312467754,-0.058644516488392195,-0.8969500227172227,-0.030906925872768012,-0.9788176474427823,-0.0408810975573546,-1.2283767974352267,-0.041574949712951365,-3.6876046656806203,-0.050112328379655846,-4.177002805256085,-0.05203302261940158,-4.727595254916779,-0.034895789296509765,-1.9385321262177497,-0.06136123499859877,-3.277779510857573,-0.06650787378536954
-0.997777758231581,-0.05747779022974113,-0.9691206789950355,-0.03026828442783095,-0.9670852432994759,-0.03962646232634293,-1.250272737725932,-0.04025811792625775,-3.6301090642132205,-0.0495155644465457,-4.138749710816747,-0.051279753222809143,-4.796774966677872,-0.0347613906522753,-1.9732644080276642,-0.060639214113073596,-3.2951898529130235,-0.06594364285741137
-0.9605260108435436,-0.0565363687405495,-1.038541041464371,-0.02902746314197617,-0.9601890452826836,-0.038215096282009545,-1.2721618568514377,-0.03897264732555109,-3.5629819774839895,-0.04904409502415715,-4.119705017579473,-0.05052678429266928,-4.8416440456676035,-0.03512337460634421,-2.021787448791515,-0.06009804999467922,-3.3068867869972918,-0.06515352125041127
-0.8511199779741725,-0.05615832184992621,-1.0964281778142282,-0.027824094999434217,-0.958033557079611,-0.03708605602817204,-1.2940441548117438,-0.03771853791083142,-3.5536165176649437,-0.047946303281386896,-4.071813616713104,-0.04993017059278543,-4.831084881938628,-0.03598125440306334,-2.088839502703551,-0.05958979145983803,-3.3301087618027987,-0.06436357992328269
-0.7705920300938138,-0.05547965827350686,-1.157065607972563,-0.02722290669780998,-0.9751615028957981,-0.03561234319493043,-1.306254040519022,-0.03677789012275516,-3.5610856935585016,-0.046723329702814766,-4.040777315054939,-0.04911429149913876,-4.789545622952732,-0.03620640593463197,-2.153531433456525,-0.06021802925385486,-3.3965087123217526,-0.06376248176159423
-0.7391273592611143,-0.054425426654697906,-1.257967012071077,-0.026961050184395416,-1.0066343591267375,-0.034421106385410974,-1.3448754778791383,-0.03583765547605119,-3.6165690512920214,-0.04553246847636103,-4.014529471366891,-0.04836120989407919,-4.7239412931426585,-0.03579893736897305,-2.2423634678508737,-0.060250780097184965,-3.457227996462483,-0.06278495922812635
-0.6673168605058402,-0.053408197479522926,-1.3328961475556067,-0.026886955157191708,-1.0596893820492004,-0.03335565234459855,-1.400236054639065,-0.03521129559736292,-3.6671275277514326,-0.04490603348105962,-3.985907862189384,-0.04748264598676516,,,-2.314401793523814,-0.060220545660395135,-3.483355787643018,-0.06188216270141257
-0.5954818055558474,-0.05250386857390105,-1.3964475794872093,-0.026135278232797904,-1.1535895421868483,-0.03216539205104995,-1.4411971516626434,-0.03455334918284825,-3.7081295517662083,-0.044059919950623125,-3.9788752408685992,-0.04669850366217119,,,-2.311782466087169,-0.061224066053671616,-3.566961445261434,-0.06165766919137506
